Région,Consommation (MW),TMoy (°C),TMin (°C),TMax (°C)
Hauts-de-France,212079.0,15.85,11.0,20.7
Grand Est,189423.0,17.81,10.7,24.93
Pays de la Loire,114382.0,17.7,10.4,25.0
Bretagne,93138.0,15.5,9.35,21.65
Nouvelle-Aquitaine,200551.0,19.96,14.03,25.88
Occitanie,176561.0,21.6,16.25,26.95
Auvergne-Rhône-Alpes,286326.0,19.81,13.68,25.95
Provence-Alpes-Côte d'Azur,202240.0,23.85,18.27,29.43
Île-de-France,293360.0,21.0,15.42,26.58
Centre-Val de Loire,83293.0,21.38,15.57,27.18
Bourgogne-Franche-Comté,92734.0,22.58,17.47,27.68
Normandie,121610.0,17.79,11.0,24.58
Hauts-de-France,219750.0,18.03,12.12,23.94
Grand Est,202915.0,21.17,16.72,25.62
Pays de la Loire,120730.0,20.27,14.75,25.8
Bretagne,97767.0,16.39,10.62,22.15
Nouvelle-Aquitaine,208560.0,21.92,16.83,27.01
Occitanie,187682.0,24.1,20.02,28.18
Auvergne-Rhône-Alpes,315541.0,24.6,18.46,30.74
Provence-Alpes-Côte d'Azur,219246.0,28.51,22.4,34.62
Île-de-France,312626.0,23.79,17.0,30.58
Centre-Val de Loire,89943.0,23.66,16.42,30.9
Bourgogne-Franche-Comté,96493.0,25.74,20.63,30.85
Normandie,123682.0,19.41,13.08,25.74
Hauts-de-France,223609.0,20.41,14.12,26.7
Grand Est,218195.0,23.42,18.45,28.4
Pays de la Loire,125365.0,20.6,12.75,28.45
Bretagne,99743.0,17.15,11.48,22.82
Nouvelle-Aquitaine,219845.0,23.26,17.59,28.93
Occitanie,212038.0,27.3,21.21,33.38
Auvergne-Rhône-Alpes,333312.0,25.63,19.41,31.85
Provence-Alpes-Côte d'Azur,228114.0,28.53,22.15,34.92
Île-de-France,298750.0,20.7,14.32,27.08
Centre-Val de Loire,85944.0,19.18,10.68,27.68
Bourgogne-Franche-Comté,88484.0,18.87,10.33,27.4
Normandie,120422.0,18.81,13.8,23.82
Hauts-de-France,221532.0,19.14,14.48,23.8
Grand Est,207017.0,18.8,10.41,27.19
Pays de la Loire,125384.0,19.73,12.85,26.6
Bretagne,101992.0,16.92,12.42,21.42
Nouvelle-Aquitaine,200808.0,19.9,14.29,25.52
Occitanie,181933.0,21.18,14.53,27.83
Auvergne-Rhône-Alpes,307307.0,18.92,10.96,26.87
Provence-Alpes-Côte d'Azur,205925.0,23.68,16.88,30.47
Île-de-France,267756.0,23.42,18.86,27.98
Centre-Val de Loire,77223.0,23.22,17.98,28.45
Bourgogne-Franche-Comté,85226.0,27.03,19.7,34.37
Normandie,103937.0,21.13,16.8,25.46
Hauts-de-France,197955.0,20.97,17.02,24.92
Grand Est,185953.0,26.6,20.3,32.9
Pays de la Loire,105745.0,22.75,18.05,27.45
Bretagne,86938.0,19.42,15.25,23.6
Nouvelle-Aquitaine,194081.0,22.23,17.93,26.53
Occitanie,190479.0,25.86,20.42,31.3
Auvergne-Rhône-Alpes,275588.0,26.15,17.68,34.63
Provence-Alpes-Côte d'Azur,213598.0,28.34,20.3,36.38
Île-de-France,229588.0,18.35,13.26,23.44
Centre-Val de Loire,74218.0,17.23,12.57,21.9
Bourgogne-Franche-Comté,72704.0,16.77,12.18,21.35
Normandie,97621.0,15.83,11.26,20.4
Hauts-de-France,189766.0,16.32,11.74,20.9
Grand Est,165919.0,17.08,12.16,21.99
Pays de la Loire,91150.0,18.3,13.8,22.8
Bretagne,81760.0,15.66,11.6,19.73
Nouvelle-Aquitaine,172365.0,17.35,13.05,21.66
Occitanie,150308.0,18.73,13.99,23.47
Auvergne-Rhône-Alpes,247963.0,16.77,12.63,20.92
Provence-Alpes-Côte d'Azur,189046.0,22.27,17.15,27.38
Île-de-France,330195.0,20.27,13.72,26.82
Centre-Val de Loire,89575.0,20.42,11.73,29.1
Bourgogne-Franche-Comté,110352.0,21.43,14.23,28.63
Normandie,129421.0,17.57,11.18,23.96
Hauts-de-France,251923.0,18.09,12.94,23.24
Grand Est,231822.0,19.8,12.29,27.31
Pays de la Loire,132721.0,21.45,13.55,29.35
Bretagne,103639.0,17.99,12.38,23.6
Nouvelle-Aquitaine,214475.0,22.46,14.73,30.19
Occitanie,193747.0,24.34,16.88,31.79
Auvergne-Rhône-Alpes,333821.0,21.99,14.63,29.35
Provence-Alpes-Côte d'Azur,209706.0,25.04,18.42,31.67
Île-de-France,308385.0,16.91,12.0,21.82
Centre-Val de Loire,82340.0,15.39,9.18,21.6
Bourgogne-Franche-Comté,103791.0,15.09,8.92,21.27
Normandie,129191.0,15.18,10.88,19.48
Hauts-de-France,250206.0,15.64,11.42,19.86
Grand Est,225172.0,14.48,8.9,20.05
Pays de la Loire,127088.0,15.48,10.1,20.85
Bretagne,102631.0,14.94,10.92,18.95
Nouvelle-Aquitaine,201394.0,14.97,9.23,20.71
Occitanie,173833.0,18.0,12.32,23.67
Auvergne-Rhône-Alpes,316664.0,15.31,10.05,20.57
Provence-Alpes-Côte d'Azur,201980.0,21.05,16.12,25.98
Île-de-France,274591.0,16.24,9.72,22.76
Centre-Val de Loire,71283.0,16.57,8.93,24.2
Bourgogne-Franche-Comté,87789.0,15.65,8.27,23.03
Normandie,117325.0,16.67,9.98,23.36
Hauts-de-France,218413.0,15.3,9.02,21.58
Grand Est,196837.0,15.33,8.75,21.91
Pays de la Loire,103916.0,18.52,10.85,26.2
Bretagne,87391.0,18.88,12.65,25.1
Nouvelle-Aquitaine,188322.0,19.15,12.05,26.25
Occitanie,165550.0,21.08,15.19,26.96
Auvergne-Rhône-Alpes,280237.0,15.69,9.15,22.23
Provence-Alpes-Côte d'Azur,181596.0,20.35,15.42,25.28
Île-de-France,266827.0,18.91,14.8,23.02
Centre-Val de Loire,69741.0,18.47,13.72,23.22
Bourgogne-Franche-Comté,81169.0,18.96,15.15,22.77
Normandie,106840.0,16.62,12.3,20.94
Hauts-de-France,203210.0,17.27,13.56,20.98
Grand Est,181223.0,18.58,14.68,22.48
Pays de la Loire,95509.0,18.7,13.55,23.85
Bretagne,80615.0,15.41,10.6,20.23
Nouvelle-Aquitaine,176123.0,19.22,15.86,22.57
Occitanie,166360.0,21.71,18.08,25.34
Auvergne-Rhône-Alpes,263115.0,19.63,15.69,23.57
Provence-Alpes-Côte d'Azur,193042.0,24.74,18.38,31.1
Île-de-France,307104.0,15.65,9.5,21.8
Centre-Val de Loire,81243.0,14.58,7.42,21.75
Bourgogne-Franche-Comté,99259.0,15.82,9.83,21.82
Normandie,126594.0,13.75,8.02,19.48
Hauts-de-France,236085.0,15.24,10.64,19.84
Grand Est,216321.0,15.93,11.22,20.64
Pays de la Loire,126753.0,16.52,9.3,23.75
Bretagne,105715.0,15.89,10.02,21.75
Nouvelle-Aquitaine,199463.0,17.9,11.65,24.15
Occitanie,172522.0,18.39,11.61,25.17
Auvergne-Rhône-Alpes,303544.0,15.17,8.4,21.95
Provence-Alpes-Côte d'Azur,188192.0,19.53,13.53,25.52
Île-de-France,303259.0,18.54,13.88,23.2
Centre-Val de Loire,84908.0,18.92,12.48,25.37
Bourgogne-Franche-Comté,104494.0,17.82,10.85,24.8
Normandie,127106.0,17.06,13.42,20.7
Hauts-de-France,242167.0,16.88,13.72,20.04
Grand Est,223698.0,16.49,10.1,22.89
Pays de la Loire,127265.0,19.35,13.9,24.8
Bretagne,104445.0,17.79,13.92,21.65
Nouvelle-Aquitaine,208381.0,19.67,13.41,25.93
Occitanie,183558.0,20.67,13.95,27.39
Auvergne-Rhône-Alpes,316237.0,17.14,9.07,25.2
Provence-Alpes-Côte d'Azur,202778.0,21.65,15.43,27.87
Île-de-France,305121.0,14.95,11.46,18.44
Centre-Val de Loire,74106.0,15.88,12.27,19.48
Bourgogne-Franche-Comté,91523.0,16.19,14.23,18.15
Normandie,119345.0,13.25,9.2,17.3
Hauts-de-France,229721.0,14.06,10.1,18.02
Grand Est,209405.0,15.06,12.64,17.49
Pays de la Loire,107698.0,14.5,10.5,18.5
Bretagne,87213.0,13.62,9.72,17.52
Nouvelle-Aquitaine,180137.0,17.07,14.12,20.01
Occitanie,160653.0,18.85,15.85,21.84
Auvergne-Rhône-Alpes,289213.0,16.32,13.76,18.88
Provence-Alpes-Côte d'Azur,182824.0,18.02,15.25,20.8
Île-de-France,301010.0,13.06,9.98,16.14
Centre-Val de Loire,72937.0,13.58,10.87,16.3
Bourgogne-Franche-Comté,90531.0,12.22,7.78,16.65
Normandie,118597.0,15.49,13.12,17.86
Hauts-de-France,225073.0,14.5,12.1,16.9
Grand Est,197097.0,12.06,6.87,17.24
Pays de la Loire,102321.0,16.25,14.25,18.25
Bretagne,86301.0,16.11,14.35,17.88
Nouvelle-Aquitaine,181217.0,14.73,11.6,17.86
Occitanie,152126.0,15.45,11.16,19.75
Auvergne-Rhône-Alpes,279086.0,13.37,8.9,17.84
Provence-Alpes-Côte d'Azur,175356.0,18.36,14.2,22.52
Île-de-France,354032.0,12.73,9.14,16.32
Centre-Val de Loire,89923.0,12.32,8.15,16.5
Bourgogne-Franche-Comté,106037.0,11.96,9.05,14.87
Normandie,140464.0,11.66,8.36,14.96
Hauts-de-France,265163.0,11.22,7.88,14.56
Grand Est,244052.0,11.38,8.15,14.61
Pays de la Loire,129551.0,13.9,9.85,17.95
Bretagne,104241.0,13.15,9.55,16.75
Nouvelle-Aquitaine,200577.0,14.04,9.84,18.23
Occitanie,170100.0,14.33,10.55,18.11
Auvergne-Rhône-Alpes,329582.0,11.15,8.68,13.63
Provence-Alpes-Côte d'Azur,175729.0,16.02,12.68,19.35
Île-de-France,335138.0,18.06,14.84,21.28
Centre-Val de Loire,87213.0,17.9,14.53,21.27
Bourgogne-Franche-Comté,108515.0,15.89,9.97,21.82
Normandie,130798.0,16.75,14.28,19.22
Hauts-de-France,256701.0,16.74,14.38,19.1
Grand Est,237104.0,16.35,11.28,21.42
Pays de la Loire,132774.0,18.32,15.7,20.95
Bretagne,108266.0,16.85,15.15,18.55
Nouvelle-Aquitaine,199628.0,18.08,14.17,21.98
Occitanie,174448.0,19.49,12.65,26.32
Auvergne-Rhône-Alpes,317812.0,17.13,9.12,25.14
Provence-Alpes-Côte d'Azur,190905.0,19.31,12.87,25.75
Île-de-France,338974.0,14.65,12.3,17.0
Centre-Val de Loire,91049.0,14.99,12.58,17.4
Bourgogne-Franche-Comté,113999.0,13.21,9.63,16.78
Normandie,134574.0,13.36,10.64,16.08
Hauts-de-France,259466.0,13.65,11.14,16.16
Grand Est,241602.0,13.39,9.85,16.94
Pays de la Loire,135945.0,14.68,12.15,17.2
Bretagne,117037.0,11.94,9.0,14.88
Nouvelle-Aquitaine,211733.0,15.34,12.51,18.17
Occitanie,184813.0,14.8,10.26,19.35
Auvergne-Rhône-Alpes,340942.0,13.12,8.8,17.44
Provence-Alpes-Côte d'Azur,188710.0,15.58,9.57,21.6
Île-de-France,336840.0,12.85,8.06,17.64
Centre-Val de Loire,89486.0,11.93,5.48,18.38
Bourgogne-Franche-Comté,108281.0,11.84,3.75,19.93
Normandie,135032.0,12.85,10.12,15.58
Hauts-de-France,264506.0,13.21,10.48,15.94
Grand Est,234583.0,11.71,4.1,19.32
Pays de la Loire,124820.0,13.12,9.1,17.15
Bretagne,111129.0,15.94,12.75,19.12
Nouvelle-Aquitaine,208347.0,13.71,7.3,20.12
Occitanie,168610.0,15.56,7.85,23.28
Auvergne-Rhône-Alpes,316170.0,13.97,4.95,22.99
Provence-Alpes-Côte d'Azur,192077.0,18.39,12.1,24.68
Île-de-France,369626.0,9.43,5.08,13.78
Centre-Val de Loire,96725.0,8.47,2.47,14.47
Bourgogne-Franche-Comté,110014.0,9.31,3.75,14.87
Normandie,141679.0,10.45,4.56,16.34
Hauts-de-France,258658.0,10.15,5.02,15.28
Grand Est,235316.0,7.25,1.79,12.71
Pays de la Loire,129508.0,9.95,3.65,16.25
Bretagne,103274.0,11.71,5.08,18.35
Nouvelle-Aquitaine,210297.0,13.93,6.5,21.36
Occitanie,172802.0,14.6,8.63,20.58
Auvergne-Rhône-Alpes,330588.0,11.13,3.54,18.72
Provence-Alpes-Côte d'Azur,196547.0,14.42,9.13,19.72
Île-de-France,383730.0,8.89,3.94,13.84
Centre-Val de Loire,102182.0,9.02,2.33,15.72
Bourgogne-Franche-Comté,119716.0,7.06,-0.02,14.13
Normandie,151336.0,9.11,3.6,14.62
Hauts-de-France,272766.0,9.05,3.8,14.3
Grand Est,249470.0,7.71,0.55,14.86
Pays de la Loire,137289.0,10.2,4.9,15.5
Bretagne,117099.0,9.44,4.47,14.4
Nouvelle-Aquitaine,232453.0,12.02,4.51,19.54
Occitanie,188208.0,11.82,4.17,19.46
Auvergne-Rhône-Alpes,353596.0,8.28,-0.23,16.78
Provence-Alpes-Côte d'Azur,201613.0,12.7,6.12,19.28
Île-de-France,394436.0,10.25,8.0,12.5
Centre-Val de Loire,105968.0,10.18,8.32,12.05
Bourgogne-Franche-Comté,114132.0,10.53,6.8,14.27
Normandie,156749.0,10.59,8.82,12.36
Hauts-de-France,275451.0,9.98,7.5,12.46
Grand Est,253056.0,9.08,4.16,14.0
Pays de la Loire,138734.0,11.1,8.25,13.95
Bretagne,125297.0,9.1,5.68,12.52
Nouvelle-Aquitaine,240653.0,11.66,9.03,14.28
Occitanie,211780.0,10.98,6.87,15.08
Auvergne-Rhône-Alpes,350143.0,9.98,7.05,12.91
Provence-Alpes-Côte d'Azur,214681.0,12.68,9.52,15.85
Île-de-France,359645.0,13.0,10.0,16.0
Centre-Val de Loire,89612.0,13.87,11.5,16.23
Bourgogne-Franche-Comté,103167.0,12.48,10.67,14.28
Normandie,138351.0,13.73,10.22,17.24
Hauts-de-France,265286.0,11.28,7.14,15.42
Grand Est,233871.0,10.8,7.64,13.96
Pays de la Loire,124478.0,15.02,12.75,17.3
Bretagne,108044.0,15.31,13.32,17.3
Nouvelle-Aquitaine,197550.0,15.35,11.92,18.78
Occitanie,169259.0,13.46,9.73,17.2
Auvergne-Rhône-Alpes,299431.0,12.1,9.11,15.08
Provence-Alpes-Côte d'Azur,187341.0,14.34,10.45,18.23
Île-de-France,312673.0,15.49,12.72,18.26
Centre-Val de Loire,86412.0,16.27,14.07,18.47
Bourgogne-Franche-Comté,99404.0,13.75,9.25,18.25
Normandie,125893.0,14.11,10.06,18.16
Hauts-de-France,237892.0,14.4,10.58,18.22
Grand Est,207833.0,13.98,10.79,17.16
Pays de la Loire,116821.0,15.85,12.85,18.85
Bretagne,101787.0,14.15,11.05,17.25
Nouvelle-Aquitaine,195426.0,17.21,12.73,21.69
Occitanie,176660.0,13.95,7.39,20.52
Auvergne-Rhône-Alpes,292727.0,13.23,6.84,19.63
Provence-Alpes-Côte d'Azur,194049.0,14.41,10.37,18.45
Île-de-France,344544.0,10.86,7.72,14.0
Centre-Val de Loire,96266.0,11.78,8.68,14.87
Bourgogne-Franche-Comté,97904.0,11.95,8.95,14.95
Normandie,135828.0,10.21,7.36,13.06
Hauts-de-France,260724.0,10.24,7.3,13.18
Grand Est,213124.0,10.89,7.89,13.89
Pays de la Loire,123516.0,11.48,8.25,14.7
Bretagne,109513.0,10.69,7.15,14.22
Nouvelle-Aquitaine,203663.0,12.89,10.06,15.72
Occitanie,165135.0,13.8,11.29,16.3
Auvergne-Rhône-Alpes,304996.0,11.7,9.15,14.26
Provence-Alpes-Côte d'Azur,188935.0,15.58,13.17,17.98
Île-de-France,581512.0,1.32,-4.32,6.96
Centre-Val de Loire,150436.0,0.28,-4.83,5.38
Bourgogne-Franche-Comté,159959.0,0.12,-5.37,5.6
Normandie,218696.0,2.6,-3.7,8.9
Hauts-de-France,375526.0,2.62,-2.42,7.66
Grand Est,338479.0,0.11,-5.9,6.11
Pays de la Loire,214041.0,3.5,-2.45,9.45
Bretagne,175099.0,5.82,0.03,11.62
Nouvelle-Aquitaine,311090.0,7.11,1.42,12.8
Occitanie,261247.0,6.96,0.03,13.89
Auvergne-Rhône-Alpes,479047.0,1.16,-2.67,4.99
Provence-Alpes-Côte d'Azur,273460.0,6.18,1.68,10.67
Île-de-France,556425.0,2.04,0.28,3.8
Centre-Val de Loire,152702.0,1.31,-0.4,3.02
Bourgogne-Franche-Comté,164962.0,0.45,-1.0,1.9
Normandie,213004.0,3.25,1.02,5.48
Hauts-de-France,362837.0,2.1,0.08,4.12
Grand Est,333066.0,0.94,-0.54,2.41
Pays de la Loire,216344.0,3.52,0.05,7.0
Bretagne,179476.0,4.54,1.48,7.6
Nouvelle-Aquitaine,341045.0,2.96,0.2,5.73
Occitanie,307660.0,2.48,0.53,4.43
Auvergne-Rhône-Alpes,504208.0,-0.5,-1.93,0.92
Provence-Alpes-Côte d'Azur,312175.0,2.52,-1.03,6.08
Île-de-France,430511.0,9.05,4.94,13.16
Centre-Val de Loire,108561.0,8.67,4.2,13.15
Bourgogne-Franche-Comté,123642.0,7.45,4.83,10.07
Normandie,163906.0,9.14,4.62,13.66
Hauts-de-France,302752.0,8.77,4.62,12.92
Grand Est,267333.0,6.87,3.51,10.22
Pays de la Loire,154631.0,9.9,5.55,14.25
Bretagne,125918.0,11.2,8.28,14.12
Nouvelle-Aquitaine,263296.0,10.09,6.6,13.57
Occitanie,231827.0,9.42,5.55,13.3
Auvergne-Rhône-Alpes,394049.0,6.64,3.05,10.23
Provence-Alpes-Côte d'Azur,247015.0,9.12,4.7,13.53
Île-de-France,465207.0,3.27,2.74,3.8
Centre-Val de Loire,112697.0,6.12,4.58,7.65
Bourgogne-Franche-Comté,115982.0,5.96,4.32,7.6
Normandie,178829.0,4.41,3.3,5.52
Hauts-de-France,306752.0,3.38,2.26,4.5
Grand Est,270506.0,2.59,1.39,3.79
Pays de la Loire,165377.0,5.78,4.9,6.65
Bretagne,142358.0,6.86,5.5,8.22
Nouvelle-Aquitaine,256735.0,8.46,5.52,11.39
Occitanie,218309.0,8.64,5.5,11.78
Auvergne-Rhône-Alpes,361879.0,7.06,5.21,8.92
Provence-Alpes-Côte d'Azur,234702.0,9.88,7.9,11.87
Île-de-France,481528.0,6.09,3.38,8.8
Centre-Val de Loire,132179.0,4.9,1.25,8.55
Bourgogne-Franche-Comté,156232.0,1.77,-1.93,5.48
Normandie,183344.0,6.88,4.68,9.08
Hauts-de-France,325148.0,7.14,5.14,9.14
Grand Est,320217.0,2.29,-1.0,5.59
Pays de la Loire,186794.0,7.0,3.25,10.75
Bretagne,150710.0,8.05,5.68,10.42
Nouvelle-Aquitaine,311752.0,6.15,2.01,10.29
Occitanie,267206.0,5.29,1.71,8.86
Auvergne-Rhône-Alpes,466444.0,1.45,-2.45,5.35
Provence-Alpes-Côte d'Azur,268156.0,7.06,2.67,11.45
Île-de-France,404152.0,8.73,6.6,10.86
Centre-Val de Loire,106423.0,9.07,6.92,11.22
Bourgogne-Franche-Comté,117255.0,7.18,4.95,9.4
Normandie,158681.0,8.67,7.28,10.06
Hauts-de-France,277329.0,8.51,6.26,10.76
Grand Est,242380.0,6.45,3.94,8.96
Pays de la Loire,148129.0,9.88,8.15,11.6
Bretagne,130868.0,9.14,7.32,10.95
Nouvelle-Aquitaine,241264.0,9.73,7.63,11.82
Occitanie,215151.0,9.0,6.98,11.02
Auvergne-Rhône-Alpes,375285.0,7.2,5.45,8.95
Provence-Alpes-Côte d'Azur,246101.0,9.5,7.78,11.22
Île-de-France,587121.0,0.43,-1.12,1.98
Centre-Val de Loire,149285.0,1.24,-0.48,2.97
Bourgogne-Franche-Comté,154031.0,-0.11,-1.03,0.82
Normandie,207996.0,2.8,0.58,5.02
Hauts-de-France,348960.0,2.51,-0.0,5.02
Grand Est,315719.0,-0.52,-1.9,0.85
Pays de la Loire,209848.0,3.38,1.95,4.8
Bretagne,170515.0,5.14,3.42,6.85
Nouvelle-Aquitaine,334001.0,3.02,0.47,5.57
Occitanie,288504.0,2.89,-1.0,6.78
Auvergne-Rhône-Alpes,486461.0,-0.35,-2.82,2.13
Provence-Alpes-Côte d'Azur,277491.0,7.18,2.02,12.33
Île-de-France,453238.0,9.46,5.32,13.6
Centre-Val de Loire,122254.0,9.59,4.63,14.55
Bourgogne-Franche-Comté,131458.0,8.59,5.2,11.98
Normandie,177260.0,9.7,5.66,13.74
Hauts-de-France,333374.0,8.77,4.94,12.6
Grand Est,266731.0,8.73,4.8,12.66
Pays de la Loire,170583.0,10.25,6.0,14.5
Bretagne,146877.0,10.34,6.32,14.35
Nouvelle-Aquitaine,270103.0,11.46,7.86,15.05
Occitanie,255863.0,10.7,6.49,14.9
Auvergne-Rhône-Alpes,428199.0,7.29,3.02,11.56
Provence-Alpes-Côte d'Azur,272993.0,8.55,5.33,11.77
Île-de-France,480190.0,5.33,3.92,6.74
Centre-Val de Loire,132902.0,5.13,3.63,6.63
Bourgogne-Franche-Comté,137415.0,4.55,2.73,6.37
Normandie,183249.0,5.36,4.16,6.56
Hauts-de-France,313121.0,5.34,3.74,6.94
Grand Est,276233.0,3.52,1.7,5.34
Pays de la Loire,181158.0,6.52,5.05,8.0
Bretagne,152329.0,7.01,5.45,8.57
Nouvelle-Aquitaine,305821.0,5.64,3.3,7.99
Occitanie,286463.0,5.41,2.53,8.3
Auvergne-Rhône-Alpes,445315.0,3.62,1.56,5.67
Provence-Alpes-Côte d'Azur,280306.0,8.11,3.45,12.77
Île-de-France,480589.0,6.31,3.68,8.94
Centre-Val de Loire,121593.0,8.02,6.73,9.3
Bourgogne-Franche-Comté,136643.0,2.91,0.77,5.05
Normandie,183621.0,7.37,4.78,9.96
Hauts-de-France,316604.0,5.5,1.7,9.3
Grand Est,283028.0,2.39,-0.91,5.69
Pays de la Loire,170840.0,9.7,8.3,11.1
Bretagne,149517.0,10.11,8.4,11.82
Nouvelle-Aquitaine,282272.0,7.96,4.51,11.42
Occitanie,264227.0,6.06,0.37,11.75
Auvergne-Rhône-Alpes,443531.0,3.29,-1.76,8.35
Provence-Alpes-Côte d'Azur,285936.0,5.32,0.77,9.87
Île-de-France,482036.0,0.23,-2.76,3.22
Centre-Val de Loire,144203.0,-0.28,-3.4,2.85
Bourgogne-Franche-Comté,135060.0,0.78,-0.68,2.25
Normandie,199671.0,0.93,-2.5,4.36
Hauts-de-France,320973.0,0.64,-2.24,3.52
Grand Est,277166.0,-0.11,-1.42,1.21
Pays de la Loire,202702.0,0.3,-5.5,6.1
Bretagne,174679.0,3.34,-0.45,7.12
Nouvelle-Aquitaine,331253.0,1.18,-0.93,3.3
Occitanie,298109.0,0.9,-1.12,2.93
Auvergne-Rhône-Alpes,422865.0,-0.03,-1.34,1.28
Provence-Alpes-Côte d'Azur,294157.0,5.18,3.3,7.07
Île-de-France,464547.0,9.95,7.92,11.98
Centre-Val de Loire,121701.0,10.53,8.72,12.35
Bourgogne-Franche-Comté,138688.0,10.5,9.05,11.95
Normandie,180720.0,9.2,6.7,11.7
Hauts-de-France,329824.0,8.95,7.38,10.52
Grand Est,298370.0,9.99,8.53,11.46
Pays de la Loire,176551.0,11.32,9.5,13.15
Bretagne,144629.0,9.8,7.0,12.6
Nouvelle-Aquitaine,274346.0,11.38,9.91,12.84
Occitanie,230415.0,11.07,8.68,13.46
Auvergne-Rhône-Alpes,420679.0,9.47,5.5,13.44
Provence-Alpes-Côte d'Azur,245296.0,11.18,6.92,15.43
Île-de-France,470558.0,9.83,6.94,12.72
Centre-Val de Loire,127112.0,9.92,6.32,13.52
Bourgogne-Franche-Comté,145282.0,9.98,4.78,15.17
Normandie,181919.0,9.8,8.1,11.5
Hauts-de-France,335948.0,9.78,6.86,12.7
Grand Est,309819.0,8.26,3.75,12.78
Pays de la Loire,188278.0,10.35,8.85,11.85
Bretagne,153471.0,11.21,9.65,12.78
Nouvelle-Aquitaine,288894.0,10.99,7.76,14.22
Occitanie,253784.0,10.53,6.38,14.68
Auvergne-Rhône-Alpes,446824.0,9.97,5.55,14.39
Provence-Alpes-Côte d'Azur,257227.0,11.46,7.68,15.23
Île-de-France,497884.0,4.29,1.6,6.98
Centre-Val de Loire,143253.0,3.02,-1.17,7.2
Bourgogne-Franche-Comté,157657.0,1.56,-1.63,4.75
Normandie,203429.0,4.51,1.82,7.2
Hauts-de-France,376320.0,4.48,2.88,6.08
Grand Est,322826.0,2.23,-0.74,5.2
Pays de la Loire,206777.0,4.1,-0.65,8.85
Bretagne,171221.0,5.36,1.8,8.93
Nouvelle-Aquitaine,336542.0,3.82,-0.27,7.91
Occitanie,294475.0,4.38,1.45,7.32
Auvergne-Rhône-Alpes,479741.0,1.55,-2.3,5.41
Provence-Alpes-Côte d'Azur,289454.0,5.49,2.8,8.18
Île-de-France,509458.0,3.87,2.74,5.0
Centre-Val de Loire,135799.0,3.59,2.08,5.1
Bourgogne-Franche-Comté,142343.0,3.49,1.48,5.5
Normandie,201759.0,3.67,2.42,4.92
Hauts-de-France,342721.0,3.06,1.68,4.44
Grand Est,289507.0,3.58,1.66,5.49
Pays de la Loire,193042.0,5.05,3.35,6.75
Bretagne,168437.0,4.9,2.68,7.12
Nouvelle-Aquitaine,320218.0,4.89,2.84,6.94
Occitanie,288556.0,4.62,3.26,5.98
Auvergne-Rhône-Alpes,457808.0,1.86,-0.26,3.99
Provence-Alpes-Côte d'Azur,278343.0,6.84,4.43,9.25
Île-de-France,381237.0,13.08,10.6,15.56
Centre-Val de Loire,98146.0,13.06,11.12,15.0
Bourgogne-Franche-Comté,110566.0,12.12,9.82,14.42
Normandie,149396.0,10.9,7.72,14.08
Hauts-de-France,276403.0,10.03,7.12,12.94
Grand Est,233211.0,11.85,8.88,14.82
Pays de la Loire,142195.0,13.1,11.75,14.45
Bretagne,119792.0,12.42,11.3,13.55
Nouvelle-Aquitaine,221988.0,14.76,11.18,18.34
Occitanie,198367.0,14.33,8.04,20.63
Auvergne-Rhône-Alpes,363632.0,10.62,7.48,13.75
Provence-Alpes-Côte d'Azur,233208.0,10.77,5.77,15.77
Île-de-France,429151.0,10.41,6.18,14.64
Centre-Val de Loire,127547.0,11.42,8.2,14.63
Bourgogne-Franche-Comté,136460.0,10.17,7.68,12.65
Normandie,171235.0,10.24,6.6,13.88
Hauts-de-France,320451.0,8.75,4.76,12.74
Grand Est,288158.0,9.36,5.31,13.41
Pays de la Loire,173130.0,12.05,9.65,14.45
Bretagne,145473.0,11.69,9.6,13.77
Nouvelle-Aquitaine,272617.0,13.0,9.51,16.49
Occitanie,219942.0,13.93,9.13,18.74
Auvergne-Rhône-Alpes,425023.0,9.86,6.92,12.8
Provence-Alpes-Côte d'Azur,252750.0,10.23,5.38,15.08
Île-de-France,495382.0,5.97,1.3,10.64
Centre-Val de Loire,134325.0,6.48,2.63,10.33
Bourgogne-Franche-Comté,153505.0,5.97,2.28,9.65
Normandie,192988.0,5.98,2.42,9.54
Hauts-de-France,346453.0,5.91,2.28,9.54
Grand Est,318929.0,5.23,2.17,8.29
Pays de la Loire,188103.0,8.45,5.65,11.25
Bretagne,157961.0,7.51,5.05,9.98
Nouvelle-Aquitaine,302874.0,9.69,7.27,12.11
Occitanie,255868.0,10.37,6.09,14.65
Auvergne-Rhône-Alpes,471389.0,7.86,3.87,11.85
Provence-Alpes-Côte d'Azur,265903.0,10.08,5.32,14.83
Île-de-France,474247.0,8.68,5.08,12.28
Centre-Val de Loire,125019.0,7.48,3.48,11.47
Bourgogne-Franche-Comté,140199.0,8.94,5.57,12.32
Normandie,185596.0,8.14,4.6,11.68
Hauts-de-France,328919.0,8.07,5.48,10.66
Grand Est,296251.0,8.19,5.02,11.36
Pays de la Loire,189123.0,8.0,3.4,12.6
Bretagne,155622.0,7.94,3.52,12.35
Nouvelle-Aquitaine,267687.0,10.67,6.34,14.99
Occitanie,235009.0,11.56,5.67,17.45
Auvergne-Rhône-Alpes,430072.0,9.11,5.92,12.3
Provence-Alpes-Côte d'Azur,243692.0,10.98,5.23,16.72
